Country,Job Title,Gender,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,2,0.035%
Austria,Automatic Data Processing Planner,Female,1,0.018%
Austria,Automatic Data Processing Planner,Male,1,0.018%
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,2,0.035%
Austria,Clinical Data Specialist,Male,1,0.018%
Austria,Computer or Data Processing Systems Consultant,Female,1,0.018%
Austria,Computer or Data Processing Systems Consultant,Male,2,0.035%
Austria,Crime Data Specialist,Male,1,0.018%
Austria,Data Administrator,Male,1,0.018%
Austria,Data Base Design Analyst,Male,2,0.035%
Austria,Data Coder Operator,Male,1,0.018%
Austria,Data Communications Software Consultant,Male,2,0.035%
Austria,Data Coordinator,Male,2,0.035%
Austria,Data Entry Representative,Male,1,0.018%
Austria,Data Entry Specialist,Female,1,0.018%
Austria,Data Keyer,Male,1,0.018%
Austria,Data Management Associate,Male,1,0.018%
Austria,Data Management Information Technology Specialist,Male,1,0.018%
Austria,Data Officer,Male,2,0.035%
Austria,Data Processing Auditor,Female,1,0.018%
Austria,Data Processing Auditor,Male,2,0.035%
Austria,Data Processing Systems Project Planner,Male,1,0.018%
Austria,Data Security Analyst,Male,2,0.035%
Austria,Data Systems Manager,Female,1,0.018%
Austria,Data Warehouse Developer,Male,1,0.018%
Austria,Data Warehousing Engineer,Female,1,0.018%
Austria,Data Warehousing Engineer,Male,4,0.07%
Austria,Data Warehousing Manager,Female,1,0.018%
Austria,Database Administration Associate,Male,1,0.018%
Austria,Database Administration Manager,Male,1,0.018%
Austria,Database Architect,Male,1,0.018%
Austria,Database Coordinator,Male,1,0.018%
Austria,Database Design Analyst,Male,1,0.018%
Austria,Database Developer,Female,1,0.018%
Austria,Database Development and Administration Project Manager,Male,1,0.018%
Austria,Database Engineer,Male,2,0.035%
Austria,Database Manager,Male,1,0.018%
Austria,Database Marketing Analyst,Male,1,0.018%
Austria,Database Modeler,Female,1,0.018%
Austria,Database Security Administrator,Female,1,0.018%
Austria,Database Security Administrator,Male,2,0.035%
Austria,Database Security Expert,Male,1,0.018%
Austria,Database Software Technician,Male,2,0.035%
Austria,Databases Computer Consultant,Male,1,0.018%
Austria,Director of Data Operations,Male,1,0.018%
Austria,Electronic Data Processing Auditor (EDP Auditor),Male,1,0.018%
Austria,Field Artillery Automated Tactical Data System Specialist,Female,1,0.018%
Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),Male,1,0.018%
Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,1,0.018%
Austria,Geographic Information Systems Data Manager (GIS Data Manager),Male,1,0.018%
Austria,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,1,0.018%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),Female,2,0.035%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,2,0.035%
Austria,Internet Database Specialist,Male,1,0.018%
Austria,Maintenance Data Analyst,Male,1,0.018%
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Male,2,0.035%
Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,1,0.018%
Belgium,Automatic Data Processing Planner,Male,2,0.035%
Belgium,Automatic Data Processing Planner (ADP Planner),Male,1,0.018%
Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,2,0.035%
Belgium,Clinical Data Associate,Female,2,0.035%
Belgium,Clinical Data Associate,Male,1,0.018%
Belgium,Clinical Data Coordinator,Male,1,0.018%
Belgium,Crime Data Specialist,Male,1,0.018%
Belgium,Data Administrator,Female,1,0.018%
Belgium,Data Administrator,Male,2,0.035%
Belgium,Data Architect,Female,1,0.018%
Belgium,Data Architect,Male,2,0.035%
Belgium,Data Base Design Analyst,Male,1,0.018%
Belgium,Data Capture Specialist,Male,1,0.018%
Belgium,Data Collector,Male,1,0.018%
Belgium,Data Communications Analyst,Male,1,0.018%
Belgium,Data Coordinator,Male,1,0.018%
Belgium,Data Entry Associate,Female,1,0.018%
Belgium,Data Entry Representative,Male,1,0.018%
Belgium,Data Entry Specialist,Male,1,0.018%
Belgium,Data Management Associate,Male,1,0.018%
Belgium,Data Management Information Technology Specialist,Female,1,0.018%
Belgium,Data Management Information Technology Specialist,Male,1,0.018%
Belgium,Data Manager,Male,1,0.018%
Belgium,Data Miner,Male,1,0.018%
Belgium,Data Officer,Male,4,0.07%
Belgium,Data Processing Consultant,Female,1,0.018%
Belgium,Data Processing Manager,Male,1,0.018%
Belgium,Data Processing Systems Analyst,Male,2,0.035%
Belgium,Data Processing Systems Project Planner,Male,2,0.035%
Belgium,Data Recovery Planner,Male,1,0.018%
Belgium,Data Scientist,Female,1,0.018%
